Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,season_end_year,season
307.0,Jawun Evans,21.0,LAC,PG,48.0,4.0,778.0,5.6,15.8,0.352,0.9,3.4,0.278,4.6,12.4,0.372,0.381,2.4,3.1,0.776,0.6,4.7,5.3,6.3,2.3,0.4,2.8,6.1,14.4,90.0,111.0,,2018,2017-18
308.0,Sterling Brown,22.0,MIL,SG,54.0,4.0,776.0,5.3,13.2,0.4,2.1,5.8,0.352,3.2,7.3,0.439,0.478,1.3,1.5,0.875,1.7,7.5,9.2,1.6,2.0,0.8,1.6,5.1,13.9,100.0,110.0,,2018,2017-18
309.0,Shane Larkin,25.0,BOS,PG,54.0,2.0,775.0,5.4,14.1,0.384,2.0,5.5,0.36,3.4,8.6,0.398,0.454,2.1,2.4,0.865,1.0,5.0,5.9,6.3,1.9,0.1,2.1,3.7,14.9,104.0,106.0,,2018,2017-18
310.0,Terrance Ferguson,19.0,OKC,SG,61.0,12.0,763.0,4.6,11.0,0.414,2.6,7.8,0.333,2.0,3.2,0.612,0.533,0.6,0.7,0.9,1.2,1.8,3.1,1.2,1.6,0.7,0.7,5.4,12.3,115.0,111.0,,2018,2017-18
311.0,Nenê,35.0,HOU,C,52.0,4.0,758.0,8.8,15.5,0.569,0.0,0.1,0.0,8.8,15.4,0.574,0.569,4.4,6.9,0.636,3.5,7.9,11.4,2.9,1.8,0.9,2.5,8.0,22.1,117.0,105.0,,2018,2017-18
312.0,Richaun Holmes,24.0,PHI,C,48.0,2.0,746.0,8.7,15.5,0.56,0.3,2.0,0.129,8.4,13.5,0.624,0.568,2.4,3.6,0.661,3.7,9.9,13.6,3.9,1.3,1.9,1.6,6.3,20.1,121.0,103.0,,2018,2017-18
313.0,Jabari Parker,22.0,MIL,PF,31.0,3.0,743.0,10.7,22.3,0.482,2.1,5.4,0.383,8.7,16.8,0.514,0.529,2.7,3.6,0.741,2.8,7.3,10.1,4.0,1.7,0.7,3.0,3.4,26.2,106.0,111.0,,2018,2017-18
314.0,Omri Casspi,29.0,GSW,SF,53.0,7.0,740.0,7.8,13.5,0.58,0.7,1.4,0.455,7.2,12.0,0.595,0.604,3.3,4.5,0.725,2.0,11.1,13.0,3.3,1.2,1.2,2.4,4.6,19.5,117.0,107.0,,2018,2017-18
315.0,Quinn Cook,24.0,GSW,PG,33.0,18.0,740.0,7.9,16.4,0.484,3.0,6.8,0.442,5.0,9.6,0.514,0.575,1.4,1.6,0.88,0.7,4.7,5.3,5.8,0.8,0.1,2.1,3.8,20.3,115.0,113.0,,2018,2017-18
316.0,Salah Mejri,31.0,DAL,C,61.0,1.0,729.0,6.1,9.4,0.642,0.0,0.2,0.0,6.1,9.2,0.657,0.642,2.6,4.5,0.576,5.9,11.1,16.9,2.4,1.5,4.6,2.7,8.3,14.7,122.0,102.0,,2018,2017-18
317.0,DeAndre Liggins,29.0,2TM,SG,58.0,4.0,724.0,2.7,7.2,0.377,1.3,3.6,0.358,1.4,3.6,0.396,0.467,0.1,0.3,0.4,0.5,4.6,5.1,3.3,2.5,1.0,1.4,5.5,6.9,95.0,109.0,,2018,2017-18
317.0,DeAndre Liggins,29.0,MIL,SG,31.0,1.0,480.0,2.3,6.8,0.338,1.1,3.7,0.306,1.1,3.0,0.379,0.423,0.2,0.5,0.4,0.5,4.6,5.1,2.8,2.8,1.0,1.4,6.3,5.9,88.0,109.0,,2018,2017-18
317.0,DeAndre Liggins,29.0,NOP,SG,27.0,3.0,244.0,3.5,8.0,0.439,1.6,3.3,0.471,2.0,4.7,0.417,0.537,0.0,0.0,,0.4,4.7,5.1,4.1,2.0,0.8,1.4,3.9,8.6,107.0,109.0,,2018,2017-18
318.0,Luke Babbitt,28.0,2TM,SF,50.0,14.0,715.0,6.3,14.8,0.423,4.1,10.7,0.385,2.1,4.1,0.525,0.563,1.2,1.5,0.773,0.5,6.1,6.6,2.1,0.5,0.5,1.3,3.7,17.8,109.0,113.0,,2018,2017-18
318.0,Luke Babbitt,28.0,ATL,SF,37.0,9.0,570.0,6.9,14.4,0.476,4.2,9.5,0.441,2.7,4.9,0.544,0.622,1.5,1.9,0.773,0.4,6.5,6.9,2.2,0.6,0.4,1.3,4.0,19.4,119.0,114.0,,2018,2017-18
318.0,Luke Babbitt,28.0,MIA,SF,13.0,5.0,145.0,3.8,16.3,0.234,3.8,15.6,0.244,0.0,0.7,0.0,0.351,0.0,0.0,,0.7,4.5,5.2,1.7,0.3,0.7,1.4,2.4,11.4,74.0,111.0,,2018,2017-18
319.0,Dwayne Bacon,22.0,CHO,SG,53.0,6.0,713.0,4.9,13.1,0.375,0.8,2.9,0.256,4.2,10.2,0.409,0.404,1.4,1.7,0.8,0.3,8.2,8.5,2.6,1.1,0.1,1.6,3.1,12.0,88.0,111.0,,2018,2017-18
320.0,Matthew Dellavedova,27.0,MIL,PG,38.0,3.0,712.0,3.9,10.6,0.362,2.0,5.5,0.372,1.8,5.2,0.351,0.457,1.8,1.9,0.926,1.0,3.5,4.5,10.2,1.0,0.0,3.4,4.7,11.5,104.0,115.0,,2018,2017-18
321.0,C.J. Williams,27.0,LAC,SG,38.0,18.0,707.0,6.0,13.5,0.442,1.5,5.4,0.282,4.5,8.2,0.546,0.497,0.9,1.1,0.813,0.8,3.0,3.9,3.0,2.1,0.9,1.4,4.3,14.4,105.0,111.0,,2018,2017-18
322.0,Channing Frye,34.0,2TM,C,53.0,1.0,695.0,7.3,14.9,0.491,2.7,8.1,0.339,4.6,6.8,0.67,0.583,1.2,1.3,0.895,0.8,8.6,9.5,2.7,1.3,0.9,1.5,4.8,18.5,115.0,111.0,,2018,2017-18
322.0,Channing Frye,34.0,CLE,C,44.0,1.0,545.0,7.6,15.2,0.497,2.7,8.1,0.333,4.9,7.1,0.684,0.586,1.3,1.3,0.933,0.9,9.0,9.9,2.5,1.5,1.1,1.5,4.9,19.1,115.0,110.0,,2018,2017-18
322.0,Channing Frye,34.0,LAL,C,9.0,0.0,150.0,6.4,13.7,0.465,2.9,8.0,0.36,3.5,5.7,0.611,0.57,1.0,1.3,0.75,0.6,7.3,8.0,3.2,0.3,0.3,1.3,4.8,16.6,115.0,111.0,,2018,2017-18
323.0,Wayne Selden,23.0,MEM,SG,35.0,9.0,692.0,8.5,19.7,0.431,3.6,8.9,0.402,4.9,10.7,0.456,0.522,3.2,4.3,0.746,1.2,2.9,4.1,4.8,1.3,0.4,3.9,4.3,23.7,101.0,115.0,,2018,2017-18
324.0,Chandler Parsons,29.0,MEM,SF,36.0,8.0,691.0,7.9,17.1,0.462,3.7,8.9,0.421,4.2,8.3,0.504,0.571,1.2,2.0,0.63,1.0,5.6,6.6,5.0,1.3,0.8,2.6,3.9,20.8,110.0,113.0,,2018,2017-18
325.0,Mike James,27.0,2TM,PG,36.0,10.0,687.0,8.6,22.4,0.383,1.8,6.8,0.265,6.8,15.5,0.435,0.424,4.5,5.9,0.762,0.9,5.4,6.3,8.8,2.0,0.5,3.4,3.3,23.4,99.0,113.0,,2018,2017-18
325.0,Mike James,27.0,PHO,PG,32.0,10.0,669.0,8.7,22.3,0.388,1.9,6.9,0.268,6.8,15.4,0.442,0.429,4.6,6.0,0.762,0.9,5.5,6.4,8.6,1.9,0.5,3.4,3.2,23.8,100.0,113.0,,2018,2017-18
325.0,Mike James,27.0,NOP,PG,4.0,0.0,18.0,5.3,23.9,0.222,0.0,2.7,0.0,5.3,21.2,0.25,0.222,0.0,0.0,,2.7,0.0,2.7,15.9,2.7,0.0,2.7,8.0,10.6,77.0,111.0,,2018,2017-18
326.0,Jared Dudley,32.0,PHO,PF,48.0,0.0,686.0,3.3,8.5,0.393,2.0,5.6,0.363,1.3,2.9,0.452,0.512,1.9,2.4,0.771,0.6,6.0,6.6,5.4,1.7,0.8,2.0,5.9,10.6,110.0,113.0,,2018,2017-18
327.0,Tyler Ennis,23.0,LAL,PG,54.0,11.0,683.0,6.6,15.7,0.42,1.0,3.9,0.25,5.6,11.8,0.476,0.451,1.5,2.0,0.759,1.3,5.3,6.7,7.4,2.1,0.7,2.7,5.3,15.7,101.0,108.0,,2018,2017-18
328.0,Arron Afflalo,32.0,ORL,SG,53.0,3.0,682.0,4.7,11.6,0.401,1.9,5.0,0.386,2.7,6.6,0.413,0.485,1.6,1.9,0.846,0.3,4.5,4.7,2.2,0.3,0.6,1.5,4.0,12.8,98.0,115.0,,2018,2017-18
329.0,Marreese Speights,30.0,ORL,C,52.0,3.0,675.0,10.0,25.3,0.395,6.2,16.9,0.369,3.8,8.4,0.448,0.519,2.9,4.0,0.727,1.5,8.1,9.6,2.9,0.6,1.6,2.9,7.7,29.2,101.0,111.0,,2018,2017-18
330.0,Cedi Osman,22.0,CLE,SF,61.0,12.0,672.0,6.6,13.6,0.484,2.3,6.3,0.368,4.2,7.2,0.586,0.57,1.9,3.4,0.565,1.4,7.4,8.7,3.0,1.6,0.2,2.3,5.7,17.3,108.0,112.0,,2018,2017-18
331.0,Danilo Gallinari,29.0,LAC,SF,21.0,21.0,671.0,7.4,18.6,0.398,2.6,8.0,0.324,4.8,10.5,0.455,0.469,5.9,6.3,0.931,0.7,6.7,7.3,3.0,0.9,0.7,1.9,2.2,23.3,111.0,112.0,,2018,2017-18
332.0,Zach LaVine,22.0,CHI,SG,24.0,24.0,656.0,10.1,26.4,0.383,3.1,9.2,0.341,7.0,17.3,0.405,0.442,6.5,8.0,0.813,0.7,6.3,7.0,5.4,1.8,0.3,3.2,4.1,29.8,99.0,111.0,,2018,2017-18
333.0,Kobi Simmons,20.0,MEM,PG,32.0,12.0,643.0,6.3,14.9,0.423,0.9,3.1,0.282,5.4,11.8,0.46,0.452,2.0,2.0,1.0,1.1,2.8,3.9,5.3,1.4,0.4,3.5,4.8,15.4,94.0,115.0,,2018,2017-18
334.0,Sean Kilpatrick,28.0,4TM,SG,52.0,1.0,640.0,8.4,22.5,0.374,3.5,11.0,0.319,4.9,11.5,0.427,0.452,4.9,5.5,0.889,0.4,6.3,6.7,3.5,1.0,0.4,2.9,2.5,25.3,97.0,113.0,,2018,2017-18
334.0,Sean Kilpatrick,28.0,BRK,SG,16.0,0.0,183.0,6.6,23.1,0.287,2.9,11.4,0.256,3.7,11.7,0.318,0.351,4.8,5.0,0.947,0.3,9.0,9.3,4.0,0.5,0.3,4.2,2.1,21.0,80.0,112.0,,2018,2017-18
