Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,season_end_year,season
1.0,Damian Lillard,22.0,POR,PG,82.0,82.0,3167.0,9.2,21.4,0.429,3.1,8.3,0.368,6.1,13.0,0.469,0.501,4.5,5.3,0.844,0.7,3.6,4.3,8.8,1.2,0.3,4.0,2.9,25.9,108.0,112.0,ROY-1,2013,2012-13
2.0,Kevin Durant,24.0,OKC,SF,81.0,81.0,3119.0,12.1,23.6,0.51,2.3,5.5,0.416,9.8,18.1,0.539,0.559,11.2,12.4,0.905,0.8,9.8,10.6,6.2,1.9,1.7,4.6,2.4,37.6,122.0,100.0,"MVP-2,AS,NBA1",2013,2012-13
3.0,Monta Ellis,27.0,MIL,SG,82.0,82.0,3076.0,9.8,23.7,0.416,1.5,5.4,0.287,8.3,18.3,0.454,0.448,4.8,6.2,0.773,0.7,4.5,5.2,8.2,2.8,0.6,4.2,2.7,26.0,100.0,105.0,,2013,2012-13
4.0,DeMar DeRozan,23.0,TOR,SG,82.0,82.0,3013.0,9.7,21.7,0.445,0.6,2.1,0.283,9.1,19.6,0.463,0.459,6.3,7.5,0.831,0.8,4.8,5.6,3.6,1.3,0.4,2.7,3.0,26.2,105.0,110.0,,2013,2012-13
5.0,Kobe Bryant,34.0,LAL,SG,78.0,78.0,3013.0,12.5,26.9,0.463,2.2,6.9,0.324,10.2,20.0,0.51,0.504,8.9,10.6,0.839,1.1,6.2,7.3,7.9,1.8,0.4,4.8,2.9,36.0,112.0,107.0,"MVP-5,AS,NBA1",2013,2012-13
6.0,James Harden,23.0,HOU,SG,78.0,78.0,2985.0,9.8,22.4,0.438,3.0,8.1,0.368,6.8,14.2,0.477,0.504,11.3,13.3,0.851,1.0,5.3,6.3,7.6,2.4,0.6,4.9,3.0,33.8,116.0,106.0,"MVP-8,AS,NBA3",2013,2012-13
7.0,Stephen Curry,24.0,GSW,PG,78.0,78.0,2983.0,10.7,23.6,0.451,4.6,10.2,0.453,6.0,13.4,0.449,0.549,4.5,5.0,0.9,1.0,4.3,5.3,9.2,2.1,0.2,4.1,3.4,30.4,115.0,107.0,MVP-11,2013,2012-13
8.0,Paul George,22.0,IND,SF,79.0,79.0,2972.0,8.8,21.1,0.419,3.0,8.4,0.362,5.8,12.7,0.457,0.491,4.0,4.9,0.807,1.6,9.2,10.8,5.9,2.6,0.9,4.2,4.1,24.7,104.0,97.0,"DPOY-8,MIP-1,AS,NBA3,DEF2",2013,2012-13
9.0,Klay Thompson,22.0,GSW,SG,82.0,82.0,2936.0,8.8,20.9,0.422,3.7,9.1,0.401,5.1,11.8,0.437,0.509,2.3,2.7,0.841,0.6,4.7,5.3,3.2,1.5,0.8,2.7,4.1,23.5,102.0,107.0,,2013,2012-13
10.0,Jrue Holiday,22.0,PHI,PG,78.0,78.0,2926.0,10.0,23.2,0.431,1.6,4.5,0.368,8.4,18.8,0.446,0.466,3.3,4.4,0.752,1.6,4.3,5.9,11.3,2.2,0.6,5.3,3.1,24.9,99.0,107.0,AS,2013,2012-13
11.0,O.J. Mayo,25.0,DAL,SG,82.0,82.0,2913.0,8.1,18.0,0.449,2.5,6.1,0.407,5.6,11.9,0.471,0.519,3.3,4.1,0.82,0.6,4.5,5.1,6.3,1.6,0.4,3.7,3.4,22.0,104.0,109.0,,2013,2012-13
