Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,season_end_year,season
Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,West,2013,2012-13
New York Knicks*,54,28,.659,—,100.0,95.7,3.73,West,2013,2012-13
Brooklyn Nets*,49,33,.598,5.0,96.9,95.1,1.25,West,2013,2012-13
Boston Celtics*,41,40,.506,12.5,96.5,96.7,-0.62,West,2013,2012-13
Philadelphia 76ers,34,48,.415,20.0,93.2,96.5,-3.51,West,2013,2012-13
Toronto Raptors,34,48,.415,20.0,97.2,98.7,-1.96,West,2013,2012-13
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,West,2013,2012-13
Indiana Pacers*,49,32,.605,—,94.7,90.7,3.34,West,2013,2012-13
Chicago Bulls*,45,37,.549,4.5,93.2,92.9,-0.02,West,2013,2012-13
Milwaukee Bucks*,38,44,.463,11.5,98.9,100.4,-1.83,West,2013,2012-13
Detroit Pistons,29,53,.354,20.5,94.9,98.8,-4.33,West,2013,2012-13
Cleveland Cavaliers,24,58,.293,25.5,96.5,101.2,-4.87,West,2013,2012-13
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,West,2013,2012-13
Miami Heat*,66,16,.805,—,102.9,95.0,7.03,West,2013,2012-13
Atlanta Hawks*,44,38,.537,22.0,98.0,97.5,-0.08,West,2013,2012-13
Washington Wizards,29,53,.354,37.0,93.2,95.8,-2.78,West,2013,2012-13
Charlotte Bobcats,21,61,.256,45.0,93.4,102.7,-9.29,West,2013,2012-13
Orlando Magic,20,62,.244,46.0,94.1,101.1,-7.12,West,2013,2012-13
