Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,season_end_year,season
1.0,Kevin Durant,25.0,OKC,SF,81.0,81.0,3122.0,13.7,27.2,0.503,3.1,7.9,0.391,10.6,19.3,0.549,0.56,11.3,13.0,0.873,0.9,8.7,9.6,7.2,1.7,1.0,4.6,2.8,41.8,123.0,104.0,"MVP-1,AS,NBA1",2014,2013-14
2.0,Monta Ellis,28.0,DAL,SG,82.0,82.0,3023.0,9.8,21.7,0.451,1.2,3.5,0.33,8.6,18.1,0.474,0.478,5.8,7.3,0.788,0.6,4.4,5.0,8.0,2.4,0.4,4.5,3.3,26.5,104.0,109.0,,2014,2013-14
3.0,DeMar DeRozan,24.0,TOR,SG,79.0,79.0,3017.0,10.5,24.4,0.429,1.1,3.6,0.305,9.4,20.7,0.451,0.452,9.0,10.9,0.824,0.9,5.1,5.9,5.4,1.5,0.5,3.0,3.4,31.0,110.0,107.0,AS,2014,2013-14
4.0,Carmelo Anthony,29.0,NYK,PF,77.0,77.0,2982.0,13.2,29.3,0.452,3.0,7.4,0.402,10.3,21.9,0.469,0.503,8.2,9.6,0.848,2.6,8.5,11.1,4.3,1.7,0.9,3.5,4.0,37.7,113.0,108.0,"MVP-15,AS",2014,2013-14
5.0,John Wall,23.0,WAS,PG,82.0,82.0,2980.0,10.0,23.1,0.433,1.9,5.3,0.351,8.1,17.8,0.458,0.473,5.5,6.8,0.805,0.7,5.1,5.8,12.5,2.6,0.7,5.1,3.8,27.4,106.0,104.0,AS,2014,2013-14
6.0,Nicolas Batum,25.0,POR,SF,82.0,82.0,2956.0,6.5,14.0,0.465,2.5,6.9,0.361,4.0,7.1,0.566,0.554,2.8,3.5,0.803,2.0,8.5,10.5,7.2,1.3,1.0,3.6,2.7,18.3,113.0,106.0,,2014,2013-14
7.0,Damian Lillard,23.0,POR,PG,82.0,82.0,2937.0,9.5,22.5,0.424,3.8,9.5,0.394,5.8,12.9,0.447,0.508,6.4,7.3,0.871,0.6,4.4,5.0,7.9,1.1,0.4,3.3,3.4,29.2,116.0,110.0,"AS,NBA3",2014,2013-14
8.0,LeBron James,29.0,MIA,PF,77.0,77.0,2902.0,13.9,24.5,0.567,2.1,5.5,0.379,11.8,19.0,0.622,0.61,8.0,10.6,0.75,1.5,8.2,9.7,8.8,2.2,0.5,4.9,2.3,37.9,121.0,105.0,"MVP-2,DPOY-6,AS,NBA1,DEF2",2014,2013-14
9.0,Paul George,23.0,IND,SF,80.0,80.0,2898.0,10.3,24.4,0.424,3.3,9.0,0.364,7.1,15.4,0.458,0.49,7.2,8.3,0.864,1.1,8.6,9.7,5.1,2.7,0.4,4.0,3.5,31.1,107.0,97.0,"MVP-9,DPOY-7,AS,NBA3,DEF1",2014,2013-14
10.0,DeAndre Jordan,25.0,LAC,C,82.0,82.0,2870.0,6.1,9.0,0.676,0.0,0.0,,6.1,9.0,0.676,0.676,2.8,6.5,0.428,5.8,13.6,19.4,1.3,1.4,3.5,2.1,4.6,14.9,121.0,98.0,DPOY-3,2014,2013-14
11.0,Klay Thompson,23.0,GSW,SG,81.0,81.0,2868.0,9.7,21.9,0.444,3.9,9.3,0.417,5.8,12.6,0.464,0.533,2.6,3.2,0.795,0.7,3.7,4.3,3.1,1.3,0.6,2.3,4.1,25.9,108.0,106.0,,2014,2013-14
12.0,Blake Griffin,24.0,LAC,PF,80.0,80.0,2863.0,12.5,23.7,0.528,0.2,0.8,0.273,12.3,23.0,0.537,0.533,8.4,11.8,0.715,3.4,9.9,13.2,5.4,1.6,0.9,3.9,4.6,33.7,114.0,103.0,"MVP-3,AS,NBA2",2014,2013-14
13.0,Kyle Lowry,27.0,TOR,PG,79.0,79.0,2862.0,8.3,19.7,0.423,3.5,9.1,0.38,4.9,10.6,0.46,0.511,5.7,7.0,0.813,1.6,5.1,6.7,10.7,2.2,0.3,3.5,4.9,25.9,118.0,106.0,,2014,2013-14
14.0,Stephen Curry,25.0,GSW,PG,78.0,78.0,2846.0,11.4,24.2,0.471,4.6,10.8,0.424,6.9,13.5,0.509,0.566,5.4,6.1,0.885,0.8,5.0,5.9,11.7,2.2,0.2,5.2,3.4,32.8,117.0,104.0,"MVP-6,AS,NBA2",2014,2013-14
15.0,Joakim Noah,28.0,CHI,C,80.0,80.0,2820.0,7.2,15.1,0.475,0.0,0.0,0.0,7.2,15.1,0.476,0.475,4.7,6.3,0.737,5.3,11.7,17.0,8.1,1.9,2.3,3.7,4.6,19.0,111.0,96.0,"MVP-4,DPOY-1,AS,NBA1,DEF1",2014,2013-14
