Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,season_end_year,season
Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,West,2014,2013-14
Toronto Raptors*,48,34,.585,—,101.3,98.0,2.55,West,2014,2013-14
Brooklyn Nets*,44,38,.537,4.0,98.5,99.5,-1.58,West,2014,2013-14
New York Knicks,37,45,.451,11.0,98.6,99.4,-1.40,West,2014,2013-14
Boston Celtics,25,57,.305,23.0,96.2,100.7,-4.97,West,2014,2013-14
Philadelphia 76ers,19,63,.232,29.0,99.5,109.9,-10.66,West,2014,2013-14
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,West,2014,2013-14
Indiana Pacers*,56,26,.683,—,96.7,92.3,3.63,West,2014,2013-14
Chicago Bulls*,48,34,.585,8.0,93.7,91.8,1.20,West,2014,2013-14
Cleveland Cavaliers,33,49,.402,23.0,98.2,101.5,-3.86,West,2014,2013-14
Detroit Pistons,29,53,.354,27.0,101.0,104.7,-4.13,West,2014,2013-14
Milwaukee Bucks,15,67,.183,41.0,95.5,103.7,-8.41,West,2014,2013-14
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,West,2014,2013-14
Miami Heat*,54,28,.659,—,102.2,97.4,4.15,West,2014,2013-14
Washington Wizards*,44,38,.537,10.0,100.7,99.4,0.48,West,2014,2013-14
Charlotte Bobcats*,43,39,.524,11.0,96.9,97.1,-0.89,West,2014,2013-14
Atlanta Hawks*,38,44,.463,16.0,101.0,101.5,-0.88,West,2014,2013-14
Orlando Magic,23,59,.280,31.0,96.5,102.0,-5.88,West,2014,2013-14
