Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,season_end_year,season
Golden State Warriors*,67,15,0.817,—,115.9,104.3,11.35,West,2017,2016-17
San Antonio Spurs*,61,21,0.744,6.0,105.3,98.1,7.13,West,2017,2016-17
Houston Rockets*,55,27,0.671,12.0,115.3,109.6,5.84,West,2017,2016-17
Los Angeles Clippers*,51,31,0.622,16.0,108.7,104.4,4.42,West,2017,2016-17
Utah Jazz*,51,31,0.622,16.0,100.7,96.8,4.0,West,2017,2016-17
Oklahoma City Thunder*,47,35,0.573,20.0,106.6,105.8,1.14,West,2017,2016-17
Memphis Grizzlies*,43,39,0.524,24.0,100.5,100.0,0.96,West,2017,2016-17
Portland Trail Blazers*,41,41,0.5,26.0,107.9,108.5,-0.23,West,2017,2016-17
Denver Nuggets,40,42,0.488,27.0,111.7,111.2,0.7,West,2017,2016-17
New Orleans Pelicans,34,48,0.415,33.0,104.3,106.4,-1.69,West,2017,2016-17
Dallas Mavericks,33,49,0.402,34.0,97.9,100.8,-2.53,West,2017,2016-17
Sacramento Kings,32,50,0.39,35.0,102.8,106.7,-3.29,West,2017,2016-17
Minnesota Timberwolves,31,51,0.378,36.0,105.6,106.7,-0.64,West,2017,2016-17
Los Angeles Lakers,26,56,0.317,41.0,104.6,111.5,-6.29,West,2017,2016-17
Phoenix Suns,24,58,0.293,43.0,107.7,113.3,-5.14,West,2017,2016-17
