Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,season_end_year,season
Boston Celtics*,53,29,0.646,—,108.0,105.4,2.25,East,2017,2016-17
Cleveland Cavaliers*,51,31,0.622,2.0,110.3,107.2,2.87,East,2017,2016-17
Toronto Raptors*,51,31,0.622,2.0,106.9,102.6,3.65,East,2017,2016-17
Washington Wizards*,49,33,0.598,4.0,109.2,107.4,1.36,East,2017,2016-17
Atlanta Hawks*,43,39,0.524,10.0,103.2,104.0,-1.23,East,2017,2016-17
Milwaukee Bucks*,42,40,0.512,11.0,103.6,103.8,-0.45,East,2017,2016-17
Indiana Pacers*,42,40,0.512,11.0,105.1,105.3,-0.64,East,2017,2016-17
Chicago Bulls*,41,41,0.5,12.0,102.9,102.4,0.03,East,2017,2016-17
Miami Heat,41,41,0.5,12.0,103.2,102.1,0.77,East,2017,2016-17
Detroit Pistons,37,45,0.451,16.0,101.3,102.5,-1.29,East,2017,2016-17
Charlotte Hornets,36,46,0.439,17.0,104.9,104.7,-0.07,East,2017,2016-17
New York Knicks,31,51,0.378,22.0,104.3,108.0,-3.87,East,2017,2016-17
Orlando Magic,29,53,0.354,24.0,101.1,107.6,-6.61,East,2017,2016-17
Philadelphia 76ers,28,54,0.341,25.0,102.4,108.1,-5.83,East,2017,2016-17
Brooklyn Nets,20,62,0.244,33.0,105.8,112.5,-6.74,East,2017,2016-17
