Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,season_end_year,season
Phoenix Suns*,64,18,0.78,—,114.8,107.3,6.94,West,2022,2021-22
Memphis Grizzlies*,56,26,0.683,8.0,115.6,109.9,5.37,West,2022,2021-22
Golden State Warriors*,53,29,0.646,11.0,111.0,105.5,5.52,West,2022,2021-22
Dallas Mavericks*,52,30,0.634,12.0,108.0,104.7,3.12,West,2022,2021-22
Utah Jazz*,49,33,0.598,15.0,113.6,107.6,5.67,West,2022,2021-22
Denver Nuggets*,48,34,0.585,16.0,112.7,110.4,2.16,West,2022,2021-22
Minnesota Timberwolves*,46,36,0.561,18.0,115.9,113.3,2.53,West,2022,2021-22
Los Angeles Clippers,42,40,0.512,22.0,108.4,108.4,0.09,West,2022,2021-22
New Orleans Pelicans*,36,46,0.439,28.0,109.3,110.3,-0.84,West,2022,2021-22
San Antonio Spurs,34,48,0.415,30.0,113.2,113.0,0.02,West,2022,2021-22
Los Angeles Lakers,33,49,0.402,31.0,112.1,115.1,-3.08,West,2022,2021-22
Sacramento Kings,30,52,0.366,34.0,110.3,115.8,-5.26,West,2022,2021-22
Portland Trail Blazers,27,55,0.329,37.0,106.2,115.1,-8.55,West,2022,2021-22
Oklahoma City Thunder,24,58,0.293,40.0,103.7,111.8,-7.9,West,2022,2021-22
Houston Rockets,20,62,0.244,44.0,109.7,118.2,-8.26,West,2022,2021-22
