Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,season_end_year,season
Milwaukee Bucks*,60,22,0.732,—,118.1,109.3,8.04,East,2019,2018-19
Toronto Raptors*,58,24,0.707,2.0,114.4,108.4,5.49,East,2019,2018-19
Philadelphia 76ers*,51,31,0.622,9.0,115.2,112.5,2.25,East,2019,2018-19
Boston Celtics*,49,33,0.598,11.0,112.4,108.0,3.9,East,2019,2018-19
Indiana Pacers*,48,34,0.585,12.0,108.0,104.7,2.76,East,2019,2018-19
Brooklyn Nets*,42,40,0.512,18.0,112.2,112.3,-0.4,East,2019,2018-19
Orlando Magic*,42,40,0.512,18.0,107.3,106.6,0.28,East,2019,2018-19
Detroit Pistons*,41,41,0.5,19.0,107.0,107.3,-0.56,East,2019,2018-19
Charlotte Hornets,39,43,0.476,21.0,110.7,111.8,-1.32,East,2019,2018-19
Miami Heat,39,43,0.476,21.0,105.7,105.9,-0.45,East,2019,2018-19
Washington Wizards,32,50,0.39,28.0,114.0,116.9,-3.3,East,2019,2018-19
Atlanta Hawks,29,53,0.354,31.0,113.3,119.4,-6.06,East,2019,2018-19
Chicago Bulls,22,60,0.268,38.0,104.9,113.4,-8.32,East,2019,2018-19
Cleveland Cavaliers,19,63,0.232,41.0,104.5,114.1,-9.39,East,2019,2018-19
New York Knicks,17,65,0.207,43.0,104.6,113.8,-8.93,East,2019,2018-19
