Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,season_end_year,season
Golden State Warriors*,73,9,0.89,—,114.9,104.1,10.38,West,2016,2015-16
San Antonio Spurs*,67,15,0.817,6.0,103.5,92.9,10.28,West,2016,2015-16
Oklahoma City Thunder*,55,27,0.671,18.0,110.2,102.9,7.09,West,2016,2015-16
Los Angeles Clippers*,53,29,0.646,20.0,104.5,100.2,4.13,West,2016,2015-16
Portland Trail Blazers*,44,38,0.537,29.0,105.1,104.3,0.98,West,2016,2015-16
Dallas Mavericks*,42,40,0.512,31.0,102.3,102.6,-0.02,West,2016,2015-16
Memphis Grizzlies*,42,40,0.512,31.0,99.1,101.3,-2.14,West,2016,2015-16
Houston Rockets*,41,41,0.5,32.0,106.5,106.4,0.34,West,2016,2015-16
Utah Jazz,40,42,0.488,33.0,97.7,95.9,1.84,West,2016,2015-16
Sacramento Kings,33,49,0.402,40.0,106.6,109.1,-2.32,West,2016,2015-16
Denver Nuggets,33,49,0.402,40.0,101.9,105.0,-2.81,West,2016,2015-16
New Orleans Pelicans,30,52,0.366,43.0,102.7,106.5,-3.56,West,2016,2015-16
Minnesota Timberwolves,29,53,0.354,44.0,102.4,106.0,-3.38,West,2016,2015-16
Phoenix Suns,23,59,0.28,50.0,100.9,107.5,-6.32,West,2016,2015-16
Los Angeles Lakers,17,65,0.207,56.0,97.3,106.9,-8.92,West,2016,2015-16
