Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,season_end_year,season
1.0,James Harden,26.0,HOU,SG,82.0,82.0,3125.0,11.2,25.4,0.439,3.7,10.3,0.359,7.5,15.1,0.494,0.512,11.3,13.2,0.86,1.0,6.9,7.9,9.6,2.2,0.8,5.9,3.6,37.4,115.0,108.0,"MVP-9,AS",2016,2015-16
2.0,Gordon Hayward,25.0,UTA,SF,80.0,80.0,2893.0,9.5,21.9,0.433,2.6,7.5,0.349,6.9,14.4,0.477,0.493,7.2,8.7,0.824,1.1,6.1,7.2,5.4,1.7,0.5,3.7,3.3,28.8,110.0,105.0,,2016,2015-16
3.0,Kemba Walker,25.0,CHO,PG,81.0,81.0,2885.0,9.9,23.2,0.427,3.2,8.5,0.371,6.7,14.6,0.459,0.495,6.5,7.6,0.847,1.0,5.2,6.2,7.3,2.2,0.7,3.0,1.9,29.4,112.0,105.0,,2016,2015-16
4.0,Trevor Ariza,30.0,HOU,SF,81.0,81.0,2859.0,6.1,14.8,0.416,3.2,8.6,0.371,3.0,6.2,0.478,0.523,2.2,2.8,0.783,1.2,5.1,6.3,3.2,2.8,0.4,1.9,3.0,17.6,110.0,108.0,DPOY-13,2016,2015-16
5.0,Marcus Morris,26.0,DET,SF,80.0,80.0,2856.0,7.2,16.7,0.434,1.9,5.3,0.362,5.3,11.4,0.467,0.491,3.6,4.8,0.749,1.6,5.5,7.1,3.6,1.2,0.4,2.5,3.0,20.0,107.0,108.0,,2016,2015-16
6.0,Khris Middleton,24.0,MIL,SG,79.0,79.0,2852.0,9.1,20.4,0.444,2.6,6.4,0.396,6.5,13.9,0.466,0.507,4.9,5.6,0.888,0.8,4.6,5.4,5.9,2.3,0.3,3.2,3.6,25.6,109.0,110.0,,2016,2015-16
7.0,Kyle Lowry,29.0,TOR,PG,77.0,77.0,2851.0,9.3,21.7,0.427,3.8,9.9,0.388,5.4,11.8,0.461,0.516,7.2,8.9,0.811,1.0,5.6,6.6,9.0,2.9,0.6,4.1,3.8,29.6,115.0,104.0,"MVP-10,DPOY-13,AS,NBA3",2016,2015-16
8.0,Andrew Wiggins,20.0,MIN,SF,81.0,81.0,2845.0,10.5,22.9,0.459,1.0,3.4,0.3,9.5,19.6,0.486,0.481,7.6,10.0,0.761,1.9,3.3,5.2,2.9,1.4,0.8,3.2,2.9,29.7,106.0,113.0,,2016,2015-16
9.0,Giannis Antetokounmpo,21.0,MIL,PG,80.0,79.0,2823.0,9.3,18.3,0.506,0.5,2.0,0.257,8.8,16.3,0.537,0.52,5.3,7.4,0.724,2.0,9.0,11.0,6.2,1.7,2.0,3.8,4.7,24.4,109.0,106.0,,2016,2015-16
10.0,Paul George,25.0,IND,SF,81.0,81.0,2819.0,10.7,25.5,0.418,3.7,10.0,0.371,7.0,15.6,0.447,0.49,8.0,9.3,0.86,1.4,8.5,9.9,5.8,2.7,0.5,4.7,4.1,33.0,106.0,101.0,"AS,NBA3,DEF2",2016,2015-16
11.0,Draymond Green,25.0,GSW,PF,81.0,81.0,2808.0,6.9,14.1,0.49,1.7,4.4,0.388,5.2,9.7,0.537,0.551,3.9,5.7,0.696,2.3,10.9,13.2,10.3,2.0,1.9,4.5,4.1,19.5,115.0,100.0,"MVP-7,DPOY-2,AS,NBA2,DEF1",2016,2015-16
12.0,DeMar DeRozan,26.0,TOR,SG,78.0,78.0,2804.0,11.3,25.4,0.446,0.9,2.6,0.338,10.4,22.8,0.458,0.463,10.2,12.0,0.85,1.2,5.3,6.4,5.8,1.5,0.4,3.2,3.1,33.7,113.0,108.0,AS,2016,2015-16
13.0,Kentavious Caldwell-Pope,22.0,DET,SG,76.0,76.0,2789.0,7.3,17.4,0.42,2.1,6.7,0.309,5.2,10.7,0.489,0.479,3.3,4.1,0.811,1.3,3.8,5.1,2.5,2.0,0.3,1.9,3.0,20.0,107.0,107.0,,2016,2015-16
14.0,John Wall,25.0,WAS,PG,77.0,77.0,2784.0,10.0,23.6,0.424,2.0,5.7,0.351,8.0,17.9,0.448,0.467,4.8,6.0,0.791,0.7,5.9,6.6,13.8,2.5,1.0,5.6,2.8,26.8,102.0,104.0,AS,2016,2015-16
15.0,CJ McCollum,24.0,POR,SG,80.0,80.0,2780.0,11.5,25.7,0.448,3.5,8.5,0.417,8.0,17.3,0.463,0.517,3.4,4.1,0.827,0.8,3.8,4.7,6.1,1.7,0.4,3.5,3.4,30.0,108.0,110.0,MIP-1,2016,2015-16
16.0,Russell Westbrook,27.0,OKC,PG,80.0,80.0,2750.0,11.8,26.1,0.454,1.8,6.2,0.296,10.0,19.9,0.503,0.489,8.4,10.3,0.812,2.6,8.7,11.3,15.1,2.9,0.4,6.2,3.6,33.9,115.0,103.0,"MVP-4,AS,NBA1",2016,2015-16
17.0,Monta Ellis,30.0,IND,SG,81.0,81.0,2734.0,7.9,18.5,0.427,1.6,5.1,0.309,6.3,13.4,0.472,0.47,2.9,3.7,0.786,0.8,4.2,4.9,7.0,2.7,0.7,3.7,3.2,20.4,99.0,103.0,,2016,2015-16
18.0,LeBron James,31.0,CLE,SF,76.0,76.0,2709.0,14.0,26.9,0.52,1.7,5.4,0.309,12.3,21.5,0.573,0.551,6.8,9.3,0.731,2.1,8.6,10.7,9.8,2.0,0.9,4.7,2.7,36.5,116.0,103.0,"MVP-3,DPOY-11,AS,NBA1",2016,2015-16
19.0,Joe Johnson,34.0,2TM,SF,81.0,81.0,2703.0,7.1,16.1,0.439,2.2,5.9,0.383,4.8,10.2,0.471,0.509,2.2,2.7,0.831,0.9,4.6,5.5,6.0,1.1,0.1,3.0,2.7,18.6,104.0,113.0,,2016,2015-16
19.0,Joe Johnson,34.0,BRK,SF,57.0,57.0,1934.0,6.4,15.8,0.406,2.2,6.0,0.371,4.2,9.9,0.427,0.476,2.4,2.8,0.852,0.9,5.0,5.8,6.0,1.0,0.1,3.0,2.6,17.5,101.0,114.0,,2016,2015-16
19.0,Joe Johnson,34.0,MIA,SF,24.0,24.0,769.0,8.7,16.7,0.518,2.3,5.6,0.417,6.3,11.1,0.569,0.588,1.7,2.3,0.765,1.0,3.5,4.5,5.7,1.4,0.1,2.9,3.1,21.4,114.0,108.0,,2016,2015-16
20.0,Stephen Curry,27.0,GSW,PG,79.0,79.0,2700.0,14.4,28.6,0.504,7.2,15.9,0.454,7.2,12.7,0.566,0.63,6.5,7.2,0.908,1.2,6.5,7.7,9.4,3.0,0.3,4.7,2.9,42.5,125.0,103.0,"MVP-1,AS,NBA1",2016,2015-16
21.0,Damian Lillard,25.0,POR,PG,75.0,75.0,2676.0,11.5,27.5,0.419,4.3,11.4,0.375,7.3,16.1,0.45,0.497,7.7,8.7,0.892,0.8,4.8,5.6,9.6,1.2,0.5,4.5,3.1,35.1,113.0,110.0,"MVP-8,NBA2",2016,2015-16
22.0,Andre Drummond,22.0,DET,C,81.0,81.0,2666.0,10.5,20.1,0.521,0.0,0.1,0.333,10.4,20.0,0.522,0.522,3.9,11.1,0.355,7.5,15.2,22.7,1.3,2.3,2.1,2.9,4.6,24.9,103.0,98.0,"DPOY-10,AS,NBA3",2016,2015-16
23.0,Klay Thompson,25.0,GSW,SG,80.0,80.0,2666.0,11.8,25.1,0.47,5.0,11.8,0.425,6.8,13.3,0.51,0.569,3.5,4.0,0.873,0.6,4.9,5.5,3.0,1.1,0.9,2.5,2.8,32.1,112.0,107.0,"AS,NBA3",2016,2015-16
24.0,Paul Millsap,30.0,ATL,PF,81.0,81.0,2647.0,9.4,19.9,0.47,1.4,4.3,0.319,8.0,15.6,0.512,0.505,5.8,7.6,0.757,3.7,10.0,13.7,4.9,2.7,2.6,3.6,4.4,25.9,108.0,96.0,"DPOY-5,AS,DEF2",2016,2015-16
25.0,Isaiah Thomas,26.0,BOS,PG,82.0,79.0,2644.0,10.9,25.5,0.428,3.1,8.6,0.359,7.8,16.9,0.462,0.488,8.7,10.0,0.871,0.8,3.6,4.5,9.4,1.7,0.2,4.1,3.1,33.6,113.0,107.0,AS,2016,2015-16
26.0,Wesley Matthews,29.0,DAL,SF,78.0,78.0,2644.0,6.4,16.4,0.388,3.6,10.1,0.36,2.7,6.3,0.432,0.498,2.4,2.8,0.863,0.5,4.1,4.6,2.9,1.5,0.3,1.5,3.4,18.8,105.0,109.0,,2016,2015-16
27.0,Al Horford,29.0,ATL,C,82.0,82.0,2631.0,9.9,19.7,0.505,1.7,4.8,0.344,8.3,14.9,0.557,0.547,1.9,2.4,0.798,2.8,8.4,11.2,4.9,1.3,2.3,2.0,3.1,23.5,113.0,101.0,"DPOY-13,AS",2016,2015-16
28.0,Karl-Anthony Towns,20.0,MIN,C,82.0,82.0,2627.0,12.0,22.1,0.542,0.6,1.7,0.341,11.4,20.4,0.559,0.555,4.3,5.3,0.811,4.4,12.1,16.5,3.1,1.1,2.6,3.5,4.7,28.8,112.0,106.0,ROY-1,2016,2015-16
29.0,DeAndre Jordan,27.0,LAC,C,77.0,77.0,2598.0,6.9,9.8,0.703,0.0,0.0,0.0,6.9,9.8,0.704,0.703,5.1,11.9,0.43,5.1,15.3,20.4,1.7,1.0,3.4,2.1,4.0,18.9,122.0,98.0,"DPOY-4,NBA1,DEF1",2016,2015-16
30.0,Kevin Durant,27.0,OKC,SF,72.0,72.0,2578.0,13.4,26.6,0.505,3.6,9.3,0.387,9.9,17.3,0.569,0.573,8.6,9.6,0.898,0.9,10.5,11.3,7.0,1.3,1.6,4.8,2.6,39.1,122.0,104.0,"MVP-5,AS,NBA2",2016,2015-16
31.0,Evan Fournier,23.0,ORL,SF,79.0,71.0,2566.0,8.4,18.1,0.462,3.0,7.6,0.4,5.3,10.5,0.506,0.546,3.9,4.6,0.836,0.6,3.7,4.4,4.2,1.9,0.0,2.6,4.2,23.6,111.0,110.0,,2016,2015-16
32.0,Jordan Clarkson,23.0,LAL,SG,79.0,79.0,2552.0,9.3,21.6,0.433,2.2,6.3,0.347,7.2,15.3,0.468,0.483,3.2,4.0,0.804,1.8,4.3,6.2,3.8,1.7,0.1,2.7,3.3,24.1,103.0,114.0,,2016,2015-16
33.0,Rodney Hood,23.0,UTA,SG,79.0,79.0,2541.0,8.5,20.2,0.42,3.3,9.3,0.359,5.1,10.9,0.472,0.503,3.6,4.2,0.86,0.8,4.8,5.5,4.4,1.5,0.3,2.6,4.2,23.9,109.0,107.0,,2016,2015-16
34.0,P.J. Tucker,30.0,PHO,SF,82.0,80.0,2540.0,4.6,11.2,0.411,1.3,4.0,0.33,3.3,7.2,0.455,0.469,2.0,2.7,0.746,3.2,6.7,9.8,3.4,2.0,0.4,2.1,3.9,12.5,105.0,109.0,,2016,2015-16
35.0,Rajon Rondo,29.0,SAC,PG,72.0,72.0,2537.0,6.7,14.8,0.454,1.2,3.2,0.365,5.5,11.6,0.479,0.494,1.6,2.8,0.58,1.5,6.8,8.2,15.9,2.7,0.2,5.3,3.3,16.3,105.0,107.0,,2016,2015-16
36.0,Avery Bradley,25.0,BOS,SG,76.0,72.0,2536.0,8.8,19.6,0.447,2.8,7.8,0.361,5.9,11.8,0.505,0.52,1.8,2.4,0.78,0.9,3.3,4.2,3.0,2.2,0.4,2.1,3.2,22.2,105.0,106.0,"DPOY-6,DEF1",2016,2015-16
37.0,Carmelo Anthony,31.0,NYK,SF,72.0,72.0,2530.0,11.5,26.6,0.434,2.1,6.3,0.339,9.4,20.3,0.463,0.474,6.8,8.2,0.829,2.0,9.3,11.3,6.1,1.3,0.8,3.6,3.7,32.0,107.0,107.0,AS,2016,2015-16
38.0,George Hill,29.0,IND,PG,74.0,73.0,2524.0,6.4,14.5,0.441,2.5,6.2,0.408,3.9,8.4,0.466,0.528,2.2,3.0,0.76,1.1,4.7,5.9,5.1,1.6,0.3,2.0,2.9,17.6,112.0,106.0,,2016,2015-16
