Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,season_end_year,season
Boston Celtics*,64,18,0.78,—,120.6,109.2,10.75,East,2024,2023-24
New York Knicks*,50,32,0.61,14.0,112.8,108.2,4.36,East,2024,2023-24
Milwaukee Bucks*,49,33,0.598,15.0,119.0,116.4,2.44,East,2024,2023-24
Cleveland Cavaliers*,48,34,0.585,16.0,112.6,110.2,1.98,East,2024,2023-24
Orlando Magic*,47,35,0.573,17.0,110.5,108.4,1.48,East,2024,2023-24
Indiana Pacers*,47,35,0.573,17.0,123.3,120.2,2.75,East,2024,2023-24
Philadelphia 76ers*,47,35,0.573,17.0,114.6,111.5,2.51,East,2024,2023-24
Miami Heat*,46,36,0.561,18.0,110.1,108.4,1.1,East,2024,2023-24
Chicago Bulls,39,43,0.476,25.0,112.3,113.7,-1.77,East,2024,2023-24
Atlanta Hawks,36,46,0.439,28.0,118.3,120.5,-2.38,East,2024,2023-24
Brooklyn Nets,32,50,0.39,32.0,110.4,113.3,-3.02,East,2024,2023-24
Toronto Raptors,25,57,0.305,39.0,112.4,118.8,-6.45,East,2024,2023-24
Charlotte Hornets,21,61,0.256,43.0,106.6,116.8,-10.12,East,2024,2023-24
Washington Wizards,15,67,0.183,49.0,113.7,123.0,-9.29,East,2024,2023-24
Detroit Pistons,14,68,0.171,50.0,109.9,119.0,-9.06,East,2024,2023-24
